PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
Q92615;LARP4B;1,471927;0,7129951;1,68811;0,8025494;Vicino all'ER;Golgi apparatus;0,216183;0,611592262;;
P43234;CTSO;1,321817;0,4148203;1,537999;0,522366;Vicino all'ER;Golgi apparatus;0,216182;0,611589204;;
Q14746;COG2;1,733083;1;1,949211;1;Vicino all'ER;Cytoplasm;0,216128;0,611424081;;
Q8IZH2;XRN1;1,764625;1;1,980696;1;Vicino all'ER;protein-complex;0,216071;0,611249784;;
A0A087X1Z1;TUBGCP5;1,782171;1;1,998236;1;Vicino all'ER;endosome-vesicle;0,216065;0,611231437;;
O43815;STRN;1,290573;0,3604171;1,506637;0,4657634;Vicino all'ER;protein-complex;0,216064;0,611228379;;
P09914;IFIT1;2,080283;1;2,29629;1;Vicino all'ER;Translation;0,216007;0,611054082;;
Q96AB3;ISOC2;0,8585058;0,02342414;1,074508;0,05111236;Vicino all'ER;Mitochondria;0,2160022;0,611039405;;
P62249;RPS16;1,541906;0,8474145;1,757886;0,9230627;Vicino all'ER;Translation;0,21598;0,610971521;;
P54136;RARS1;2,066165;1;2,282138;1;Vicino all'ER;protein-complex;0,215973;0,610950116;;
Q6UXH1;CRELD2;0,4262907;0,000275229;0,6422004;0,002373418;Vicino all'ER;ER;0,2159097;0,610756555;;
P62277;RPS13;1,509111;0,7864112;1,72499;0,8674555;Vicino all'ER;Translation;0,215879;0,610662679;;
Q15904;ATP6AP1;1,170552;0,1952474;1,075053;0,05124084;Vicino al REPLICOMA;PM;0,095499;0,242560205;;
P11166;SLC2A1;1,250644;0,3026871;1,466418;0,395151;Vicino all'ER;Golgi apparatus;0,215774;0,610341606;;
Q86X55;CARM1;1,854065;1;2,06982;1;Vicino all'ER;Cytoplasm;0,215755;0,610283507;;
A0A2R8Y507;PRKG1;0,6546534;0,003937861;0,8704039;0,01284297;Vicino all'ER;ER;0,2157505;0,610269747;;
Q96QB1;DLC1;1,912444;1;2,128174;1;Vicino all'ER;Cytoplasm;0,21573;0,610207061;;
Q8TER5;ARHGEF40;1,468604;0,7073852;1,68433;0,7972577;Vicino all'ER;Translation;0,215726;0,61019483;;
P52943;CRIP2;1,675681;1;1,891362;1;Vicino all'ER;Cytoplasm;0,215681;0,610057227;;
M0R1G1;GPR108;1,231594;0,2721877;1,447244;0,3643235;Vicino all'ER;Lysosome;0,21565;0,609962434;;
Q9P0U1;TOMM7;0,8560356;0,02289528;1,071663;0,05030578;Vicino all'ER;Mitochondria;0,2156274;0,609893327;;
P62269;RPS18;1,537511;0,8388192;1,753113;0,916367;Vicino all'ER;Translation;0,215602;0,609815658;;
A0A7P0T901;ALG5;0,2089173;0;0,424491;2,54E-05;Vicino all'ER;ER;0,2155737;0,609729121;;
A0A8Q3WKJ9;AP3B1;2,183802;1;2,399335;1;Vicino all'ER;protein-complex;0,215533;0,609604667;;
Q9UM47;NOTCH3;1,354349;0,4779977;1,569875;0,5826124;Vicino all'ER;Cytoplasm;0,215526;0,609583263;;
P21333;FLNA;1,560148;0,8826049;1,775656;0,9551449;Vicino all'ER;Cytoplasm;0,215508;0,609528222;;
P46781;RPS9;1,567885;0,8951884;1,783364;0,9677264;Vicino all'ER;Translation;0,215479;0,609439544;;
Q9NUY8;TBC1D23;1,757611;1;1,973077;1;Vicino all'ER;Cytoplasm;0,215466;0,609399792;;
P27658;COL8A1;1,203986;0,2345962;1,419381;0,3243211;Vicino all'ER;PM;0,215395;0,609182686;;
A0A2R8Y5P7;HARS2;0,7586219;0,01015596;0,974009;0,02725958;Vicino all'ER;Mitochondria;0,2153871;0,609158529;;
Q8TDM6;DLG5;1,781522;1;1,996909;1;Vicino all'ER;Translation;0,215387;0,609158223;;
P46782;RPS5;1,509593;0,7880624;1,724932;0,8662632;Vicino all'ER;Translation;0,215339;0,609011447;;
A0A0A0MRN5;OGFR;1,77337;1;1,988684;1;Vicino all'ER;Cytoplasm;0,215314;0,608935001;;
P11473;VDR;1,883488;1;2,098797;1;Vicino all'ER;endosome-vesicle;0,215309;0,608919712;;
F5GWA4;KCTD10;1,56662;0,8926872;1,781893;0,9659598;Vicino all'ER;Cytoplasm;0,215273;0,60880963;;
P40306;PSMB10;1,888476;1;2,103702;1;Vicino all'ER;protein-complex;0,215226;0,608665911;;
O15021;MAST4;1,879211;1;2,09437;1;Vicino all'ER;endosome-vesicle;0,215159;0,608461036;;
Q9UKY7;CDV3;1,876983;1;2,092133;1;Vicino all'ER;Cytoplasm;0,21515;0,608433516;;
Q8IY33;MICALL2;0,9304088;0,04086482;1,145522;0,07698544;Vicino all'ER;Mitochondria;0,2151132;0,608320987;;
A0A994J3Q8;FUBP1;1,413219;0,5948849;1,628274;0,6942928;Vicino all'ER;Nucleus;0,215055;0,608143021;;
C9JAX1;FXN;1,041761;0,09254245;1,256785;0,1445387;Vicino all'ER;Mitochondria;0,215024;0,608048228;;
Q9UBT2;UBA2;1,635553;1;1,850557;1;Vicino all'ER;Cytoplasm;0,215004;0,607987071;;
Q15477;SKIC2;1,689855;1;1,904803;1;Vicino all'ER;Translation;0,214948;0,607815833;;
P40429;RPL13A;1,525056;0,8203493;1,739998;0,8916258;Vicino all'ER;Translation;0,214942;0,607797486;;
Q9NXG2;THUMPD1;1,659741;1;1,874661;1;Vicino all'ER;Cytoplasm;0,21492;0,607730213;;
I3L2C7;GEMIN4;1,593795;0,9490077;1,808712;1;Vicino all'ER;Translation;0,214917;0,60772104;;
P18085;ARF4;1,342992;0,4553977;1,55789;0,5604979;Vicino all'ER;ER;0,214898;0,607662941;;
H7C152;ATG9A;1,941129;1;2,155972;1;Vicino all'ER;endosome-vesicle;0,214843;0,60749476;;
A0A7I2V4W4;TBK1;1,679885;1;1,894693;1;Vicino all'ER;Cytoplasm;0,214808;0,607387735;;
Q9NSV4;DIAPH3;1,765488;1;1,980285;1;Vicino all'ER;Translation;0,214797;0,607354099;;
P29372;MPG;1,536733;0,8384152;1,751508;0,9143252;Vicino all'ER;Translation;0,214775;0,607286827;;
P46934;NEDD4;1,684917;1;1,899684;1;Vicino all'ER;Cytoplasm;0,214767;0,607262364;;
A0A8I5KVF8;STAG2;0,8731375;0,02631596;1,087867;0,05552268;Vicino all'ER;Mitochondria;0,2147295;0,607147695;;
A0A8Q3WLB9;G6PD;2,184052;1;2,398723;1;Vicino all'ER;protein-complex;0,214671;0,606968812;;
H0YDK8;PUM1;1,70008;1;1,914744;1;Vicino all'ER;Translation;0,214664;0,606947407;;
P63151;PPP2R2A;1,705516;1;1,920171;1;Vicino all'ER;Cytoplasm;0,214655;0,606919886;;
O75386;TULP3;1,462435;0,6976949;1,677077;0,7870787;Vicino all'ER;Golgi apparatus;0,214642;0,606880134;;
A0A0S2Z3T4;FGFR1;1,55778;0,8789502;1,772397;0,9475536;Vicino all'ER;endosome-vesicle;0,214617;0,606803688;;
P43897;TSFM;0,8254528;0,01741673;1,040008;0,04138146;Vicino all'ER;Mitochondria;0,2145552;0,606614714;;
A0AA34QVG5;HDGF;1,667602;1;1,882142;1;Vicino all'ER;Cytoplasm;0,21454;0,606568235;;
O94927;HAUS5;1,942572;1;2,157057;1;Vicino all'ER;Translation;0,214485;0,606400054;;
Q6P1N0;CC2D1A;1,442411;0,6550391;1,656847;0,7455498;Vicino all'ER;Translation;0,214436;0,60625022;;
Q5SW79;CEP170;2,007088;1;2,2215;1;Vicino all'ER;Translation;0,214412;0,606176832;;
Q71UM5;RPS27L;1,518264;0,8046229;1,732663;0,8805677;Vicino all'ER;Translation;0,214399;0,60613708;;
Q9H6T3;RPAP3;2,024797;1;2,239172;1;Vicino all'ER;protein-complex;0,214375;0,606063692;;
Q13769;THOC5;0,8090346;0,01533905;1,023377;0,03745266;Vicino all'ER;Mitochondria;0,2143424;0,605964006;;
E9PS17;SCYL1;1,640018;1;1,854349;1;Vicino all'ER;Cytoplasm;0,214331;0,605929147;;
Q9P2E3;ZNFX1;1,881074;1;2,095399;1;Vicino all'ER;protein-complex;0,214325;0,6059108;;
Q9Y6G9;DYNC1LI1;1,949036;1;2,16336;1;Vicino all'ER;protein-complex;0,214324;0,605907742;;
O75844;ZMPSTE24;0,2322222;0;0,4465271;4,65E-05;Vicino all'ER;ER;0,2143049;0,605849337;;
Q9H939;PSTPIP2;1,810773;1;2,025046;1;Vicino all'ER;Translation;0,214273;0,605751792;;
P19525;EIF2AK2;1,611537;0,9842822;1,825755;1;Vicino all'ER;Translation;0,214218;0,605583611;;
P05387;RPLP2;1,621892;0,9988209;1,836097;1;Vicino all'ER;Translation;0,214205;0,605543859;;
A0A5H1ZRS1;PCM1;1,942251;1;2,156448;1;Vicino all'ER;Translation;0,214197;0,605519397;;
Q06481;APLP2;1,881977;1;2,096172;1;Vicino all'ER;endosome-vesicle;0,214195;0,605513281;;
P25398;RPS12;1,508252;0,785745;1,722432;0,8630568;Vicino all'ER;Translation;0,21418;0,605467413;;
P62829;RPL23;1,371815;0,5104001;1,585991;0,6130941;Vicino all'ER;Translation;0,214176;0,605455182;;
G5E9A7;DMWD;1,666278;1;1,880438;1;Vicino all'ER;protein-complex;0,21416;0,605406257;;
A0A494BZW2;LRBA;0,504028;0,000698006;0,718125;0,004226563;Vicino all'ER;Mitochondria;0,214097;0,605213613;;
Q658Y4;FAM91A1;1,618309;0,9934169;1,832348;1;Vicino all'ER;Cytoplasm;0,214039;0,605036258;;
A8DPD7;ZYG11B;1,793767;1;2,007765;1;Vicino all'ER;protein-complex;0,213998;0,604910887;;
Q99797;MIPEP;1,426841;0,6239545;1,640748;0,7190934;Vicino all'ER;Mitochondria;0,213907;0,604632624;;
Q9H8Y5;ANKZF1;2,021914;1;2,235814;1;Vicino all'ER;Translation;0,2139;0,604611219;;
P13984;GTF2F2;1,687487;1;1,901311;1;Vicino all'ER;Cytoplasm;0,213824;0,604378823;;
P58511;SMIM11;1,115554;0,1448621;1,329335;0,2111882;Vicino all'ER;Golgi apparatus;0,213781;0,604247336;;
A0A590UJ50;CUL1;1,901796;1;2,115509;1;Vicino all'ER;protein-complex;0,213713;0,604039403;;
A0A3B3IU69;EML1;1,82302;1;2,036665;1;Vicino all'ER;Translation;0,213645;0,60383147;;
O43237;DYNC1LI2;1,976829;1;2,190464;1;Vicino all'ER;protein-complex;0,213635;0,603800892;;
Q9Y4R8;TELO2;1,965325;1;2,17896;1;Vicino all'ER;Golgi apparatus;0,213635;0,603800892;;
A0A2U3TZY2;CLPB;0,833962;0,01911636;1,047595;0,04315389;Vicino all'ER;Mitochondria;0,213633;0,603794776;;
A0A087X0M6;ZNF850;1,044016;0,09367052;1,25764;0,1449573;Vicino all'ER;Mitochondria;0,213624;0,603767256;;
Q9Y3A3;MOB4;1,506904;0,7824948;1,720463;0,8609176;Vicino all'ER;Cytoplasm;0,213559;0,603568496;;
O14744;PRMT5;1,953622;1;2,167156;1;Vicino all'ER;protein-complex;0,213534;0,60349205;;
B7Z1Z5;NTM;1,62781;1;1,841337;1;Vicino all'ER;endosome-vesicle;0,213527;0,603470646;;
Q9Y5W9;SNX11;1,635822;1;1,849327;1;Vicino all'ER;endosome-vesicle;0,213505;0,603403373;;
Q86TU7;SETD3;1,883186;1;2,096641;1;Vicino all'ER;Translation;0,213455;0,603250481;;
Q8TD47;RPS4Y2;1,969272;1;2,18268;1;Vicino all'ER;Golgi apparatus;0,213408;0,603106763;;
Q8IX18;DHX40;1,106439;0,1377199;1,319841;0,2005732;Vicino all'ER;Mitochondria;0,213402;0,603088416;;
Q00653;NFKB2;1,721576;1;1,934942;1;Vicino all'ER;Cytoplasm;0,213366;0,602978334;;
A0A140LJL2;CBARP;1,468226;0,7069489;1,681519;0,7923091;Vicino all'ER;Golgi apparatus;0,213293;0,602755112;;
P23497;SP100;1,572121;0,9049916;1,785413;0,9704361;Vicino all'ER;Cytoplasm;0,213292;0,602752054;;
Q86TL2;STIMATE;1,534082;0,8343788;1,747333;0,9062364;Vicino all'ER;Golgi apparatus;0,213251;0,602626682;;
Q5VYS8;TUT7;1,975228;1;2,18844;1;Vicino all'ER;Cytoplasm;0,213212;0,602507427;;
O00505;KPNA3;1,452236;0,6755903;1,665434;0,7636485;Vicino all'ER;Nucleus;0,213198;0,602464617;;
E7EMN6;PPP1R2;1,713307;1;1,926491;1;Vicino all'ER;Cytoplasm;0,213184;0,602421807;;
Q9BY44;EIF2A;1,665035;1;1,878199;1;Vicino all'ER;Translation;0,213164;0,602360651;;
P61927;RPL37;1,879538;1;2,092685;1;Vicino all'ER;endosome-vesicle;0,213147;0,602308667;;
A0A804HJ08;TUBGCP2;1,509294;0,7867637;1,722434;0,8638824;Vicino all'ER;PM;0,21314;0,602287262;;
O15344;MID1;1,804633;1;2,017705;1;Vicino all'ER;Translation;0,213072;0,602079329;;
Q5JVZ5;ELMO2;1,681724;1;1,894793;1;Vicino all'ER;Translation;0,213069;0,602070156;;
P62081;RPS7;1,495791;0,7622793;1,708851;0,8407986;Vicino all'ER;Translation;0,21306;0,602042635;;
A0A804HJG7;CLASP2;1,770581;1;1,983639;1;Vicino all'ER;Translation;0,213058;0,60203652;;
O43615;TIMM44;0,5870302;0,001975425;0,8000174;0,007985409;Vicino all'ER;Mitochondria;0,2129872;0,601820025;;
Q9P258;RCC2;1,764771;1;1,977737;1;Vicino all'ER;Translation;0,212966;0,601755199;;
Q9P107;GMIP;1,794784;1;2,00774;1;Vicino all'ER;Translation;0,212956;0,60172462;;
A0A1W2PQS6;RPS10-NUDT3;1,536295;0,8384995;1,749233;0,9103585;Vicino all'ER;Translation;0,212938;0,601669579;;
Q9NZU0;FLRT3;1,443279;0,6567655;1,656204;0,7449037;Vicino all'ER;ER;0,212925;0,601629827;;
Q96I15;SCLY;1,731443;1;1,944338;1;Vicino all'ER;Cytoplasm;0,212895;0,601538092;;
P62913;RPL11;1,475238;0,7210125;1,688099;0,8021792;Vicino all'ER;Translation;0,212861;0,601434126;;
P27635;RPL10;1,469402;0,7091669;1,682255;0,7929823;Vicino all'ER;Translation;0,212853;0,601409663;;
C9JW67;SPATS2L;1,792175;1;2,005012;1;Vicino all'ER;Translation;0,212837;0,601360738;;
Q9H492;MAP1LC3A;1,952476;1;2,165308;1;Vicino all'ER;Translation;0,212832;0,601345448;;
Q5JW28;STAU1;1,91214;1;2,124917;1;Vicino all'ER;Translation;0,212777;0,601177267;;
I3L1Y8;NMRAL1;1,374765;0,5164837;1,587468;0,6156943;Vicino all'ER;Nucleus;0,212703;0,600950987;;
P46734;MAP2K3;1,935641;1;2,148342;1;Vicino all'ER;protein-complex;0,212701;0,600944872;;
Q86W42;THOC6;0,9780262;0,05896963;1,190601;0,09914628;Vicino all'ER;ER;0,2125748;0,600558973;;
B5MCW3;BRD8;1,074116;0,1139889;1,286674;0,1701754;Vicino all'ER;Mitochondria;0,212558;0,600507601;;
Q13188;STK3;1,843742;1;2,056281;1;Vicino all'ER;Cytoplasm;0,212539;0,600449502;;
Q16718;NDUFA5;0,6699595;0,004838493;0,8824101;0,01395677;Vicino all'ER;Mitochondria;0,2124506;0,600179189;;
A0A7I2YQ88;PABPC1;1,714988;1;1,927395;1;Vicino all'ER;Translation;0,212407;0,600045868;;
P54578;USP14;1,913067;1;2,125457;1;Vicino all'ER;protein-complex;0,21239;0,599993884;;
H3BPJ2;ARL6IP1;1,132798;0,1596854;1,345166;0,2277842;Vicino all'ER;PM;0,212368;0,599926612;;
A0A8I5KWY9;GOLGA3;1,90669;1;2,119058;1;Vicino all'ER;protein-complex;0,212368;0,599926612;;
O76080;ZFAND5;1,973912;1;2,18626;1;Vicino all'ER;Golgi apparatus;0,212348;0,599865455;;
O75937;DNAJC8;1,556399;0,8769555;1,768697;0,9402275;Vicino all'ER;Cytoplasm;0,212298;0,599712563;;
O95373;IPO7;1,816583;1;2,028877;1;Vicino all'ER;Cytoplasm;0,212294;0,599700332;;
P62424;RPL7A;1,500047;0,7691699;1,712325;0,8459623;Vicino all'ER;Translation;0,212278;0,599651407;;
Q9UI10;EIF2B4;1,75624;1;1,968501;1;Vicino all'ER;Translation;0,212261;0,599599423;;
A0A9L9PY92;MFF;0,7196995;0,007486457;0,9319558;0,01992369;Vicino all'ER;Mitochondria;0,2122563;0,599585051;;
Q7Z5L9;IRF2BP2;1,302931;0,3866545;1,515181;0,4780848;Vicino all'ER;Nucleus;0,21225;0,599565787;;
O95219;SNX4;1,66575;1;1,877992;1;Vicino all'ER;endosome-vesicle;0,212242;0,599541324;;
Q68EM7;ARHGAP17;1,908174;1;2,120397;1;Vicino all'ER;Cytoplasm;0,212223;0,599483225;;
Q99571;P2RX4;1,264329;0,32066;1,476513;0,4111262;Vicino all'ER;Golgi apparatus;0,212184;0,59936397;;
P14868;DARS1;1,967846;1;2,179964;1;Vicino all'ER;protein-complex;0,212118;0,599162153;;
Q8TD55;PLEKHO2;1,544353;0,8553216;1,756463;0,9207436;Vicino all'ER;Cytoplasm;0,21211;0,59913769;;
P46019;PHKA2;1,922585;1;2,134693;1;Vicino all'ER;protein-complex;0,212108;0,599131574;;
Q58FF6;HSP90AB4P;1,864734;1;2,076818;1;Vicino all'ER;Cytoplasm;0,212084;0,599058186;;
O60318;MCM3AP;1,480363;0,7313356;1,692447;0,8124701;Vicino all'ER;Translation;0,212084;0,599058186;;
Q96JG6;VPS50;2,023016;1;2,235094;1;Vicino all'ER;Translation;0,212078;0,599039839;;
A0A096LP25;AAK1;1,821728;1;2,033725;1;Vicino all'ER;protein-complex;0,211997;0,598792154;Q3;
Q9UJ68;MSRA;1,603974;0,9705836;1,815937;1;Vicino all'ER;protein-complex;0,211963;0,598688188;;
O75179;ANKRD17;1,653931;1;1,865811;1;Vicino all'ER;Translation;0,21188;0,598434387;;
A0A8I5KTS2;FAM8A1;0,915404;0,03614131;1,127229;0,0693237;Vicino all'ER;ER;0,211825;0,598266206;;
Q7Z4I7;LIMS2;1,630052;1;1,841876;1;Vicino all'ER;Cytoplasm;0,211824;0,598263148;;
P32969;RPL9;1,497803;0,7659776;1,709599;0,8408127;Vicino all'ER;Translation;0,211796;0,598177529;;
Q9Y2L1;DIS3;1,400875;0,5695922;1,612651;0,6656057;Vicino all'ER;Nucleus;0,211776;0,598116372;;
Q02878;RPL6;1,555778;0,8758628;1,76754;0,93916;Vicino all'ER;Translation;0,211762;0,598073562;;
Q5T440;IBA57;0,9004815;0,03227244;1,11222;0,06399254;Vicino all'ER;Mitochondria;0,2117385;0,598001703;;
P07814;EPRS1;1,992583;1;2,204319;1;Vicino all'ER;protein-complex;0,211736;0,597994059;;
A0A8Q3SIW6;MTCL1;1,884287;1;2,096015;1;Vicino all'ER;Translation;0,211728;0,597969596;;
Q7Z6L1;TECPR1;1,34806;0,4657496;1,559779;0,5618695;Vicino all'ER;Lysosome;0,211719;0,597942075;;
A0A024QZW4;SLC35B3;1,432735;0,6366929;1,644448;0,7255931;Vicino all'ER;endosome-vesicle;0,211713;0,597923728;;
O60256;PRPSAP2;2,169586;1;2,381288;1;Vicino all'ER;protein-complex;0,211702;0,597890092;;
P62851;RPS25;1,490409;0,7508211;1,702096;0,8270193;Vicino all'ER;Translation;0,211687;0,597844225;;
P05165;PCCA;1,407978;0,585547;1,619651;0,6781103;Vicino all'ER;Translation;0,211673;0,597801415;;
A0A8I5KT56;FMR1;1,245978;0,292762;1,457594;0,3809333;Vicino all'ER;Golgi apparatus;0,211616;0,597627118;;
Q7L0Y3;TRMT10C;0,7141656;0,007119867;0,9257693;0,01903761;Vicino all'ER;Mitochondria;0,2116037;0,597589507;;
Q14558;PRPSAP1;2,060826;1;2,27241;1;Vicino all'ER;protein-complex;0,211584;0,597529267;;
A0A087WY56;AKT1;1,665536;1;1,877113;1;Vicino all'ER;Cytoplasm;0,211577;0,597507862;;
O94826;TOMM70;0,4710148;0,000457627;0,6825818;0,003212996;Vicino all'ER;Mitochondria;0,211567;0,597477284;;
Q9P2J5;LARS1;2,027828;1;2,239393;1;Vicino all'ER;protein-complex;0,211565;0,597471168;;
P56134;ATP5MF;0,6626202;0,004351465;0,8741651;0,01313617;Vicino all'ER;Mitochondria;0,2115449;0,597409706;;
P05198;EIF2S1;1,805475;1;2,016989;1;Vicino all'ER;Translation;0,211514;0,597315219;;
O75787;ATP6AP2;0,5115084;0,000772358;0,4447391;4,69E-05;Vicino al REPLICOMA;Mitochondria;0,0667693;0,154709452;;
Q96GI7;FAM89A;1,965628;1;2,177132;1;Vicino all'ER;Translation;0,211504;0,59728464;;
C9J486;UPP1;2,040679;1;2,252181;1;Vicino all'ER;Translation;0,211502;0,597278525;;
Q8WX93;PALLD;1,378693;0,5234616;1,590194;0,6215616;Vicino all'ER;Nucleus;0,211501;0,597275467;;
A0A3B3ISF0;LARP1B;1,734991;1;1,946433;1;Vicino all'ER;Translation;0,211442;0,597095054;;
O95816;BAG2;0,4279852;0,00029148;0,3374167;0;Vicino al REPLICOMA;ER;0,0905685;0,227483537;;
B7WPE2;EML3;1,817136;1;2,028548;1;Vicino all'ER;Translation;0,211412;0,597003319;;
P24534;EEF1B2;1,559974;0,8818803;1,771355;0,9456945;Vicino all'ER;Translation;0,211381;0,596908526;;
P15880;RPS2;1,522434;0,8127153;1,733775;0,8811478;Vicino all'ER;Translation;0,211341;0,596786213;;
Q16401;PSMD5;1,908599;1;2,119922;1;Vicino all'ER;protein-complex;0,211323;0,596731172;;
P62906;RPL10A;1,532626;0,8327605;1,743943;0,8985566;Vicino all'ER;Translation;0,211317;0,596712825;;
Q9H0A8;COMMD4;1,603412;0,9669906;1,814677;1;Vicino all'ER;Cytoplasm;0,211265;0,596553817;;
H0YLM8;DMXL2;1,927759;1;2,139023;1;Vicino all'ER;protein-complex;0,211264;0,596550759;;
Q86TM6;SYVN1;0,7346234;0,008484694;0,945869;0,02202381;Vicino all'ER;ER;0,2112456;0,596494495;;
Q86TB9;PATL1;1,957772;1;2,168932;1;Vicino all'ER;Translation;0,21116;0,596232744;;
A0A087WZ62;ALG9;1,024048;0,08159114;1,235173;0,1275153;Vicino all'ER;ER;0,211125;0,59612572;;
Q9HD33;MRPL47;0,6907328;0,005779703;0,9018478;0,01591654;Vicino all'ER;Mitochondria;0,211115;0,596095142;;
E7EX90;DCTN1;1,916158;1;2,127266;1;Vicino all'ER;protein-complex;0,211108;0,596073737;;
Q15046;KARS1;1,942987;1;2,154044;1;Vicino all'ER;protein-complex;0,211057;0,595917787;;
Q6YP21;KYAT3;1,250536;0,2987023;1,461574;0,3868743;Vicino all'ER;Mitochondria;0,211038;0,595859688;;
A0A0A0MTQ5;ATP5MJ;0,899627;0,03216739;1,110627;0,06351554;Vicino all'ER;Mitochondria;0,211;0,59574349;;
P07954;FH;0,8313088;0,01832359;1,042234;0,04187981;Vicino all'ER;Mitochondria;0,2109252;0,595514764;;
Q9NR12;PDLIM7;1,337555;0,4437529;1,548468;0,5409237;Vicino all'ER;Cytoplasm;0,210913;0,595477458;;
P35367;HRH1;1,467979;0,7069041;1,678871;0,7876191;Vicino all'ER;Golgi apparatus;0,210892;0,595413244;;
Q5TAH2;SLC9C2;1,615125;0,9889134;1,825997;1;Vicino all'ER;Cytoplasm;0,210872;0,595352087;;
A0A0C4DGM9;KIFC3;1,941872;1;2,152687;1;Vicino all'ER;Translation;0,210815;0,59517779;;
P62753;RPS6;1,510193;0,7878783;1,720972;0,8606812;Vicino all'ER;Translation;0,210779;0,595067708;;
Q96JH7;VCPIP1;1,994914;1;2,20568;1;Vicino all'ER;protein-complex;0,210766;0,595027956;;
A0A0A0MSA7;EIF4G3;1,9304;1;2,141147;1;Vicino all'ER;Translation;0,210747;0,594969857;;
Q13283;G3BP1;1,599334;0,9594378;1,810071;1;Vicino all'ER;Translation;0,210737;0,594939279;;
A0A0A6YYC0;RPS6KA4;2,029663;1;2,240397;1;Vicino all'ER;protein-complex;0,210734;0,594930105;;
P18124;RPL7;1,545522;0,8551205;1,756183;0,9211811;Vicino all'ER;Translation;0,210661;0,594706883;;
A0A2R8Y7Y3;EPB41;0,7683999;0,01098935;0,9790257;0,02839428;Vicino all'ER;ER;0,2106258;0,594599247;;
I3L269;CEP20;1,815975;1;2,026551;1;Vicino all'ER;Translation;0,210576;0,594446967;;
Q16795;NDUFA9;0,6498128;0,003744461;0,8603435;0,01198752;Vicino all'ER;Mitochondria;0,2105307;0,594308447;;
Q9UH62;ARMCX3;0,8370467;0,01962121;1,04756;0,04311658;Vicino all'ER;Mitochondria;0,2105133;0,594255241;;
Q5TC82;RC3H1;1,621642;0,9986495;1,832081;1;Vicino all'ER;Translation;0,210439;0,594028043;;
P09871;C1S;1,848938;1;2,059376;1;Vicino all'ER;Translation;0,210438;0,594024986;;
P46779;RPL28;1,471604;0,7133613;1,682018;0,7925879;Vicino all'ER;Translation;0,210414;0,593951597;;
Q8IXI1;RHOT2;0,5671548;0,001511156;0,7775062;0,006790954;Vicino all'ER;Mitochondria;0,2103514;0,593760177;;
Q96CW5;TUBGCP3;1,460814;0,6960348;1,671099;0,7731676;Vicino all'ER;Cytoplasm;0,210285;0,593557136;;
F5H6I7;ATL3;0,9196262;0,03765343;1,129911;0,0705036;Vicino all'ER;ER;0,2102848;0,593556525;;
Q15042;RAB3GAP1;1,86579;1;2,076066;1;Vicino all'ER;protein-complex;0,210276;0,593529616;;
P30050;RPL12;1,485565;0,7415397;1,695818;0,8161023;Vicino all'ER;Translation;0,210253;0,593459286;;
P30084;ECHS1;0,692121;0,005821079;0,9023517;0,01591615;Vicino all'ER;Mitochondria;0,2102307;0,593391096;;
P41091;EIF2S3;1,745078;1;1,955273;1;Vicino all'ER;Translation;0,210195;0,593281931;;
P40227;CCT6A;1,703067;1;1,913195;1;Vicino all'ER;protein-complex;0,210128;0,593077056;;
J3KNN3;PHKG2;1,935266;1;2,145322;1;Vicino all'ER;protein-complex;0,210056;0,592856892;;
Q7L1W4;LRRC8D;0,9229756;0,03870746;1,133024;0,07161637;Vicino all'ER;ER;0,2100484;0,592833652;;
Q9NX05;FAM120C;1,533694;0,8334605;1,743728;0,8979638;Vicino all'ER;Translation;0,210034;0,592789619;;
O75569;PRKRA;1,558091;0,8795496;1,768075;0,940376;Vicino all'ER;Translation;0,209984;0,592636727;;
Q9H2P0;ADNP;1,252984;0,3029749;1,462955;0,3918846;Vicino all'ER;Nucleus;0,209971;0,592596975;Q2;x
Q96CT7;CCDC124;1,627158;1;1,837012;1;Vicino all'ER;Translation;0,209854;0,592239209;;
A0A0A0MQS5;WDR83OS;0,7996358;0,01415672;1,009486;0,03445141;Vicino all'ER;ER;0,2098502;0,592227589;;
C9J222;POLM;1,038224;0,09055474;1,248058;0,1372774;Vicino all'ER;Nucleus;0,209834;0,592178052;;
Q9P0M9;MRPL27;0,7567202;0,01009285;0,9665486;0,02581973;Vicino all'ER;Mitochondria;0,2098284;0,592160928;;
Q7L5Y9;MAEA;1,404365;0,5784233;1,614101;0,6696517;Vicino all'ER;protein-complex;0,209736;0,591878384;;
F8W8I6;TIA1;1,446723;0,6659735;1,656276;0,744997;Vicino all'ER;Nucleus;0,209553;0,591318799;;
Q9BSD7;NTPCR;1,669402;1;1,87895;1;Vicino all'ER;Translation;0,209548;0,59130351;;
Q92973;TNPO1;1,732599;1;1,942107;1;Vicino all'ER;Cytoplasm;0,209508;0,591181197;;
Q7Z494;NPHP3;2,066469;1;2,275961;1;Vicino all'ER;Translation;0,209492;0,591132271;;
Q9HBH5;RDH14;0,2385478;0;0,4479455;6,91E-05;Vicino all'ER;ER;0,2093977;0,590843917;;
